,Model,Best Threshold,F1 Score,Accuracy,Recall,Precision
0,Logistic Regression,0.3157894736842105,0.794828710933639,0.9654033333333333,0.7667137027573319,0.825084133628827
1,Random Forest,0.3157894736842105,0.9999809309509735,0.9999966666666666,0.9999618626291903,1.0
2,XGBClassifier,0.10526315789473684,0.999885587887571,0.99998,0.999885587887571,0.999885587887571
