Month,Index (1982-84=1),Nominal,Motor Gasoline Price($/gallon),Base CPI (5/2023)
March 1982,0.947,1.25,4.00,
April 1982,0.950,1.20,3.83,
May 1982,0.959,1.21,3.82,
June 1982,0.970,1.28,3.99,
July 1982,0.975,1.30,4.03,
August 1982,0.977,1.29,4.01,
September 1982,0.977,1.27,3.95,
October 1982,0.981,1.26,3.89,
November 1982,0.980,1.24,3.85,
December 1982,0.977,1.21,3.77,
January 1983,0.979,1.18,3.67,
February 1983,0.980,1.14,3.54,
March 1983,0.981,1.12,3.45,
April 1983,0.988,1.19,3.65,
May 1983,0.992,1.23,3.76,
June 1983,0.994,1.24,3.80,
July 1983,0.998,1.25,3.81,
August 1983,1.001,1.25,3.79,
September 1983,1.004,1.24,3.74,
October 1983,1.008,1.22,3.67,
November 1983,1.011,1.20,3.60,
December 1983,1.014,1.18,3.55,
January 1984,1.021,1.17,3.48,
February 1984,1.026,1.17,3.45,
March 1984,1.029,1.17,3.46,
April 1984,1.033,1.20,3.52,
May 1984,1.035,1.21,3.54,
June 1984,1.037,1.20,3.50,
July 1984,1.041,1.18,3.43,
August 1984,1.044,1.16,3.38,
September 1984,1.047,1.17,3.38,
October 1984,1.051,1.17,3.38,
November 1984,1.053,1.17,3.36,
December 1984,1.055,1.15,3.30,
January 1985,1.057,1.10,3.17,
February 1985,1.063,1.09,3.11,
March 1985,1.068,1.12,3.19,
April 1985,1.070,1.18,3.34,
May 1985,1.072,1.20,3.40,
June 1985,1.075,1.21,3.41,
July 1985,1.077,1.21,3.40,
August 1985,1.079,1.20,3.36,
September 1985,1.081,1.18,3.31,
October 1985,1.085,1.17,3.26,
November 1985,1.090,1.17,3.25,
December 1985,1.095,1.16,3.22,
January 1986,1.099,1.15,3.17,
February 1986,1.097,1.08,2.98,
March 1986,1.091,0.94,2.63,
April 1986,1.087,0.86,2.40,
May 1986,1.090,0.89,2.49,
June 1986,1.094,0.92,2.56,
July 1986,1.095,0.85,2.37,
August 1986,1.096,0.81,2.24,
September 1986,1.100,0.82,2.27,
October 1986,1.102,0.79,2.18,
November 1986,1.104,0.78,2.14,
December 1986,1.108,0.78,2.12,
January 1987,1.114,0.82,2.22,
February 1987,1.118,0.86,2.34,
March 1987,1.122,0.87,2.37,
April 1987,1.127,0.91,2.44,
May 1987,1.130,0.91,2.45,
June 1987,1.135,0.92,2.47,
July 1987,1.138,0.94,2.49,
August 1987,1.143,0.96,2.55,
September 1987,1.147,0.95,2.52,
October 1987,1.150,0.94,2.48,
November 1987,1.154,0.93,2.46,
December 1987,1.156,0.91,2.40,
January 1988,1.160,0.89,2.32,
February 1988,1.162,0.87,2.27,
March 1988,1.165,0.87,2.26,
April 1988,1.172,0.90,2.33,
May 1988,1.175,0.93,2.39,
June 1988,1.180,0.92,2.37,
July 1988,1.185,0.93,2.39,
August 1988,1.190,0.95,2.43,
September 1988,1.195,0.94,2.38,
October 1988,1.199,0.92,2.33,
November 1988,1.203,0.91,2.29,
December 1988,1.207,0.88,2.22,
January 1989,1.212,0.87,2.18,
February 1989,1.216,0.88,2.20,
March 1989,1.222,0.90,2.24,
April 1989,1.231,1.04,2.56,
May 1989,1.237,1.09,2.67,
June 1989,1.241,1.08,2.64,
July 1989,1.245,1.06,2.58,
August 1989,1.245,1.02,2.49,
September 1989,1.248,0.99,2.41,
October 1989,1.254,0.99,2.39,
November 1989,1.259,0.96,2.31,
December 1989,1.263,0.93,2.24,
January 1990,1.275,1.00,2.37,
February 1990,1.280,0.99,2.36,
March 1990,1.286,0.99,2.33,
April 1990,1.289,1.02,2.39,
May 1990,1.291,1.03,2.42,
June 1990,1.299,1.06,2.47,
July 1990,1.305,1.05,2.44,
August 1990,1.316,1.16,2.67,
September 1990,1.325,1.26,2.88,
October 1990,1.334,1.34,3.05,
November 1990,1.337,1.34,3.04,
December 1990,1.342,1.31,2.96,
January 1991,1.347,1.18,2.66,
February 1991,1.348,1.09,2.46,
March 1991,1.348,1.04,2.34,
April 1991,1.351,1.08,2.42,
May 1991,1.356,1.13,2.52,
June 1991,1.360,1.13,2.52,
July 1991,1.362,1.10,2.44,
August 1991,1.366,1.11,2.48,
September 1991,1.370,1.11,2.46,
October 1991,1.372,1.09,2.41,
November 1991,1.378,1.10,2.42,
December 1991,1.382,1.08,2.36,
January 1992,1.383,1.02,2.24,
February 1992,1.386,1.01,2.20,
March 1992,1.391,1.01,2.21,
April 1992,1.394,1.05,2.29,
